sample_id	condition	replicate	run_accession	condition_label
b_xylophilus_rep1_SRR8061561	b_xylophilus	1	SRR8061561	pathogenic_B_xylophilus
b_xylophilus_rep2_SRR8061562	b_xylophilus	2	SRR8061562	pathogenic_B_xylophilus
b_xylophilus_rep3_SRR8061569	b_xylophilus	3	SRR8061569	pathogenic_B_xylophilus
b_thailandae_rep1_SRR8061566	b_thailandae	1	SRR8061566	nonpathogenic_B_thailandae
b_thailandae_rep2_SRR8061563	b_thailandae	2	SRR8061563	nonpathogenic_B_thailandae
b_thailandae_rep3_SRR8061564	b_thailandae	3	SRR8061564	nonpathogenic_B_thailandae
water_control_rep1_SRR8061567	water_control	1	SRR8061567	water_inoculation_control
water_control_rep2_SRR8061568	water_control	2	SRR8061568	water_inoculation_control
water_control_rep3_SRR8061565	water_control	3	SRR8061565	water_inoculation_control
