sample_id	run_accession	source_type	galaxy_dataset_id	source_path
pstrobus_0w_rep2_SRR29499889	SRR29499889	galaxy	26c75dcccb616ac85ac9e9a50025b30f	
pstrobus_0w_rep5_SRR29499888	SRR29499888	galaxy	26c75dcccb616ac86f76a0890dbab0d8	
pstrobus_0w_rep7_SRR29499887	SRR29499887	galaxy	26c75dcccb616ac84e696504c408a8a6	
pstrobus_2w_rep2_SRR29499886	SRR29499886	local		results/intermediate/effector_target_network_pstrobus_local_salmon/pstrobus_2w_rep2_SRR29499886/quant.sf
pstrobus_2w_rep5_SRR29499884	SRR29499884	local		results/intermediate/effector_target_network_pstrobus_local_salmon/pstrobus_2w_rep5_SRR29499884/quant.sf
pstrobus_2w_rep7_SRR29499883	SRR29499883	galaxy	26c75dcccb616ac839ed5abffac08c65	
pstrobus_4w_rep2_SRR29499882	SRR29499882	galaxy	26c75dcccb616ac811767fb789058e2e	
pstrobus_4w_rep5_SRR29499881	SRR29499881	galaxy	26c75dcccb616ac8d37014a832d7f15c	
pstrobus_4w_rep7_SRR29499880	SRR29499880	galaxy	26c75dcccb616ac82b95d125fca0a2ae	
